Sl. No.,State/UT,Number of Cases Registered - 2018-19,Number of Cases Registered - 2019-20,Number of Cases Registered - 2020-21,Number of Cases Registered - 2021-22 (up to 31.10.2021)
1,Andhra Pradesh,1414,1866,2101,1532
2,Arunachal Pradesh,79,48,59,27
3,Assam,312,340,256,330
4,Bihar,4158,3218,3880,3379
5,Chhattisgarh,621,546,539,493
6,Goa,54,55,42,61
7,Gujarat,1898,1295,1203,1068
8,Haryana,3165,2743,2177,2146
9,Himachal Pradesh,203,235,163,166
10,Jammu & Kashmir,217,160,282,249
11,Jharkhand,1767,1352,1535,1239
12,Karnataka,1384,741,931,981
13,Kerala,874,640,722,899
14,Madhya Pradesh,2831,2706,2906,2548
15,Maharashtra,2366,1877,2034,1936
16,Manipur,44,22,45,32
17,Meghalaya,25,23,34,38
18,Mizoram,14,9,16,19
19,Nagaland,17,12,12,8
20,Odisha,4983,4150,2868,1750
21,Punjab,1626,1017,870,895
22,Rajasthan,3208,2427,2198,2590
23,Sikkim,18,6,10,10
24,Tamil Nadu,3194,6535,4504,1879
25,Telangana,1219,1495,2120,1750
26,Tripura,67,49,39,31
27,Uttarakhand,1443,1196,1115,985
28,Uttar Pradesh,41947,32693,30164,24242
29,West Bengal,2202,1939,2323,3903
30,Andaman & Nicobar Islands,43,28,12,12
31,Chandigarh,147,86,110,165
32,Dadra & Nagar Haveli,20,8,13,11
33,Daman & diu,22,12,6,17
34,Delhi,6562,5842,6067,4972
35,Ladakh,1,3,1,8
36,Lakshadweep,5,8,3,13
37,Puducherry,118,91,112,63
38,All Over India,1045,1040,3277,3475
39,Foreign Countries,271,115,219,248
 Total, Total,89584,76628,74968,64170
